intercept,pred,target
1.0,0.42385088821516625,1.0
1.0,0.5097016193963355,1.0
1.0,0.3192542901834188,1.0
1.0,0.13885873430412332,0.0
1.0,0.8116589026716049,1.0
1.0,0.8190928213060938,1.0
1.0,0.030580663286881138,1.0
1.0,0.3368797757312121,1.0
1.0,0.6500430821254326,1.0
1.0,0.1728961489421098,1.0
1.0,0.017085083683497593,1.0
1.0,0.8113721161982266,1.0
1.0,0.16135759140262307,1.0
1.0,0.18976299978596645,1.0
1.0,0.8794451309789383,0.0
1.0,0.7947348393807941,1.0
1.0,0.7088219879117049,0.0
1.0,0.010760574383095634,1.0
1.0,0.5466419791888226,1.0
1.0,0.3498558421768899,1.0
1.0,0.6839703894976017,0.0
1.0,0.30020109404558215,0.0
1.0,0.26083655736171507,1.0
1.0,0.5629010228985135,1.0
1.0,0.6410249733504675,0.0
1.0,0.5380341988358537,1.0
1.0,0.45777341644541736,0.0
1.0,0.00820476789829927,1.0
1.0,0.901089487627139,0.0
1.0,0.3899663618978242,0.0
1.0,0.6499739765114926,0.0
1.0,0.7571368733568753,1.0
1.0,0.008923551818340814,1.0
1.0,0.75394188054513,1.0
1.0,0.3843826733475182,1.0
1.0,0.12730819863446063,1.0
1.0,0.8473562005215511,0.0
1.0,0.25981287887094684,1.0
1.0,0.3748854228186669,1.0
1.0,0.1767448927374603,1.0
1.0,0.695541632301825,1.0
1.0,0.617819727849823,1.0
1.0,0.23297273867548451,1.0
1.0,0.7803028213688733,1.0
1.0,0.7205716461102439,1.0
1.0,0.5066301002441551,1.0
1.0,0.3735769485544077,1.0
1.0,0.8830913145610169,1.0
1.0,0.27107969417884226,1.0
1.0,0.6243261610618007,1.0
1.0,0.9856487678466286,0.0
1.0,0.3465580838481038,1.0
1.0,0.7963813678446355,1.0
1.0,0.33522392531516243,1.0
1.0,0.8703105629127583,0.0
1.0,0.9128878599532002,1.0
1.0,0.5166056161294438,1.0
1.0,0.8272989947662925,0.0
1.0,0.5891548726430764,0.0
1.0,0.20312156476087495,1.0
1.0,0.49859708076540743,1.0
1.0,0.2961494991809632,1.0
1.0,0.589760755803586,1.0
1.0,0.24544485986060272,0.0
1.0,0.4300671260513931,1.0
1.0,0.45082000757589247,1.0
1.0,0.3182091381899791,1.0
1.0,0.03151248208179891,1.0
1.0,0.6005260044760757,1.0
1.0,0.7589871121942555,1.0
1.0,0.5480427938002976,1.0
1.0,0.6629509039477292,1.0
1.0,0.5118698609519993,1.0
1.0,0.27305321733001386,1.0
1.0,0.11295069410469305,0.0
