intercept,pred,target
1.0,0.9980130712318429,1.0
1.0,0.43265836822030024,0.0
1.0,0.1353164546086978,1.0
1.0,0.5954057103093392,1.0
1.0,0.396223797915633,1.0
1.0,0.40666707977625216,0.0
1.0,0.18131562134856816,1.0
1.0,0.9501823231617028,0.0
1.0,0.02248095386351323,1.0
1.0,0.510958994085796,1.0
1.0,0.4764742495914742,1.0
1.0,0.5622239535710741,1.0
1.0,0.21804392877728684,1.0
1.0,0.7927973672334981,1.0
1.0,0.06057781278619112,1.0
1.0,0.38827911775450297,1.0
1.0,0.37725697531085456,1.0
1.0,0.37064558944248494,1.0
1.0,0.8221376500058987,1.0
1.0,0.6660807763417144,1.0
1.0,0.08456424087645864,1.0
1.0,0.5356044196659445,1.0
1.0,0.03145166040116132,1.0
1.0,0.8085582714919699,1.0
1.0,0.2989934305089377,1.0
1.0,0.36561230565252645,1.0
1.0,0.3843125288307193,1.0
1.0,0.3728302631234358,1.0
1.0,0.009442633974312109,1.0
1.0,0.7872448571643166,0.0
1.0,0.4998927359250336,1.0
1.0,0.6455332344352935,1.0
1.0,0.35610850166501196,1.0
1.0,0.6593186681128747,1.0
1.0,0.9933836830988182,1.0
1.0,0.2597863545896323,0.0
1.0,0.0109504803268331,1.0
1.0,0.6955268145456641,1.0
1.0,0.8162474137393183,0.0
1.0,0.882914183015317,1.0
1.0,0.18316331849311618,1.0
1.0,0.7954260374417349,1.0
1.0,0.5333858276868466,1.0
1.0,0.2654212815732717,1.0
1.0,0.8024723874372088,1.0
1.0,0.6629191115952602,0.0
1.0,0.5621822165682151,1.0
1.0,0.488922285547422,1.0
1.0,0.5328517468705511,1.0
1.0,0.028128681818225698,1.0
1.0,0.9766278577698969,1.0
1.0,0.8306253595067029,0.0
1.0,0.059272183784786825,1.0
1.0,0.6332979140561331,1.0
1.0,0.9552080948335551,0.0
1.0,0.2934931862245289,1.0
1.0,0.5869030007904062,1.0
1.0,0.5124363912963762,1.0
1.0,0.8781439064655002,1.0
1.0,0.8586961052027313,0.0
1.0,0.018497435051181066,1.0
1.0,0.9344067168245161,0.0
1.0,0.106319636267456,1.0
1.0,0.7909587816914401,1.0
1.0,0.37434652721010586,1.0
1.0,0.636316738356551,1.0
1.0,0.05657034792116722,1.0
1.0,0.006019521412290119,1.0
1.0,0.13536228176887255,1.0
1.0,0.816297071630085,1.0
1.0,0.6252710765714663,1.0
1.0,0.8129306477463089,0.0
1.0,0.9459601759889341,1.0
1.0,0.5278935692550452,1.0
1.0,0.5587016364277976,1.0
1.0,0.6008786359069335,1.0
1.0,0.407931376777129,0.0
1.0,0.5921480282435699,0.0
1.0,0.02166765435885354,1.0
1.0,0.7744160783067379,1.0
1.0,0.3871248881506606,1.0
1.0,0.9332101243485298,1.0
1.0,0.40239687395320833,0.0
1.0,0.1045622123922364,1.0
1.0,0.7322081177675598,1.0
1.0,0.3216825826697888,1.0
1.0,0.9303144817207188,1.0
1.0,0.6517632278688186,1.0
1.0,0.41239069596076805,1.0
1.0,0.5370093507680433,1.0
1.0,0.5444352562762729,1.0
1.0,0.55956644193884,1.0
1.0,0.6730768627859136,1.0
1.0,0.3030656376705755,0.0
